FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
1063,445,ExactMatch,Exact,1-Jul,Webster Chapel Fire Department,1152 A.P. Hollingsworth Road,Jacksonville,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8664489265693,33.9170228941088
1064,992,ExactMatch,Exact,6,STEELE COMMUNITY CENTER,91 HILLVIEW STREET,STEELE,35987,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1994188930748,33.9448780770799
1065,697,ExactMatch,Exact,24,WHORTON BEND FIRE STATION,�2589 Whorton Bend Rd,Gadsden,35901,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.9896539433321,33.9457556853961
1066,696,ExactMatch,Approx,23,RAINBOW CITY COMMUNITY CENTER,3702 Rainbow Dr,Rainbow City,35906,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0476046901093,33.9502064140877
1067,690,ExactMatch,Exact,14-2,ATTALLA RECREATION CENTER,102 Case Ave SE,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1114914908752,33.9958368011857
1068,684,ExactMatch,Approx,9-Jan,WALLACE HALL AT GSCC,"1001 George Wallace Dr,",Gadsden,35903,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.9910046765607,33.9967064260471
1069,685,ExactMatch,Exact,11-Jan,EAST GADSDEN RECREATION CENTER,921 Wilson Ave,Gadsden,35903,Etowah,Alabama,AE, ,-85.9748046723798,34.0046120583354
1070,682,ExactMatch,Exact,6-Jan,WALNUT PARK RECREATION CENTER,3200 Walnut St,Gadsden,35904,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0587046966967,34.0114064265035
1071,681,ExactMatch,Exact,5-Jan,FORMER GADSDEN HS LUNCHROOM,607 S 12th St,Gadsden,35901,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0208206560481,34.0142216985661
1072,683,ExactMatch,Exact,7-Jan,DOWNTOWN CIVIC CENTER,623 Broad St,Gadsden,35901,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0066238120238,34.014690569216
1073,679,ExactMatch,Exact,2-Jan,ELLIOTT COMMUNITY CENTER,2829 W Meighan Blvd,Gadsden,35904,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0488959045326,34.022706429255
1074,689,ExactMatch,Exact,14-1,1ST UNITED METHODIST CH OF ATTALLA,601 4th St NW,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0880047057309,34.0235064279015
1075,680,ExactMatch,Exact,3-Jan,CARVER COMMUNITY CENTER,1030 Tuscaloosa Ave,Gadsden,35901,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0148965249398,34.0246064309751
1076,699,KnownAlternateName,Exact,26-1,IVALEE VOLUNTEER FIRE DEPT,365 Sarratt Battles Rd,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1268879375631,34.036792769172
1077,678,ExactMatch,Exact,1-Jan,NOCCALULA KIWANIS PAVILION,1500 Noccalula Rd,Gadsden,35904,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0205316273832,34.039503853881
1078,693,ExactMatch,Exact,17,EGYPT COMMUNITY CENTER,569 Egypt Mountain Rd,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1506145761241,34.0687162849322
1079,687,ExactMatch,Exact,11,REECE CITY TOWN HALL,1023 Valley Dr,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0357046933702,34.0690064394753
1080,688,ExactMatch,Exact,13,CAVE SPRINGS COMM. CLUB HOUSE,3757-3999 Duck Springs Rd,Attalla,35954,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0658295324031,34.0767987699336
1081,686,ExactMatch,Exact,10,LOOKOUT MOUNTAIN COMMUNITY CTR,4567 Lay Springs Rd,Gadsden,35904,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.9617909230887,34.0834917553904
1082,692,ExactMatch,Exact,16-3,NEW UNION COMMUNITY CENTER,56 King Ln,Boaz,0,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1994359950882,34.1579064516703
1083,691,ExactMatch,Exact,16-1,SARDIS COMMUNITY CENTER,296 Parkway Dr,Boaz,35956,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1173549131498,34.183706460282
1084,907,ExactMatch,Exact,5,Boaz Recreation Center,314 N King St,Boaz,35957,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.174204740336,34.2008064616192
1085,903,ExactMatch,Exact,1,Albertville / 1st Baptist Church,309 E Main St,Albertville,35950,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2054047529911,34.2666064741127
1086,905,ExactMatch,Exact,3,Albertville Recreation Center,915 W McKinney Ave,Albertville,35950,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2226047582561,34.2729064747461
1087,917,ExactMatch,Exact,20,Jaybird / District 4 Shop,123 Hustleville Rd,Albertville,35951,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.14615311808,34.3013064836832
1088,671,KnownAlternateName,Exact,7-Mar,Portersville Bapt Church,10144 US Hwy 11,Collinsville,0,DeKalb,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8212732163934,34.321203640633
1089,916,ExactMatch,Exact,19,Hooper / Alder Springs Community Center,5867 Hustleville Rd,Albertville,35951,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2190514114036,34.3452931499555
1090,923,ExactMatch,Exact,26,Thompson / Asbury VFD,4104 Martling Gap Rd,Albertville,35951,Marshall,Alabama,A, ,-86.1608999160596,34.3668940667547
1091,925,ExactMatch,Exact,28,Wakefield VFD,777 S Sauty Rd,Langston,35755,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1753145850862,34.4518252038345
1092,675,ExactMatch,Approx,2-Apr,Fyffe Senior Ctr,413 Grave Street,Fyffe,0,DeKalb,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.9123046801347,34.455306525005
1093,908,ExactMatch,Exact,6,Boshart / Prospect Cemetery,4885 Scottsboro Hwy,Scottsboro,35769,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2102256767885,34.4817436986522
1094,677,ExactMatch,Approx,6-Apr,Rainsville-DeKalb Co Schools Clsm.,1504 Main Street E,Rainsville,0,DeKalb,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8191046550556,34.4829065344421
1095,920,ExactMatch,Exact,23,Paint Rock / Hebron Community Center VFD,90 Hebron School Rd,Grant,35747,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3812641259086,34.4876723330422
